PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,cv_error,synchrony_error
"[4, 97]","[1, 58]","[4, 175]","[2, 39]","[2, 220]","[4, 80]","[4, 221]","[1, 135]","[2, 254]","[1, 149]","[1, 152]",0.999,0.287
"[4, 61]","[1, 188]","[4, 140]","[2, 74]","[2, 234]","[4, 187]","[4, 46]","[2, 181]","[1, 33]","[2, 247]","[1, 116]",0.999,0.531
"[4, 50]","[2, 211]","[3, 109]","[1, 42]","[2, 154]","[4, 233]","[4, 96]","[2, 16]","[2, 200]","[2, 13]","[1, 199]",0.617,0.064
"[4, 101]","[3, 200]","[3, 190]","[2, 237]","[1, 209]","[4, 170]","[3, 179]","[1, 231]","[1, 149]","[2, 63]","[1, 166]",0.724,0.266
"[4, 220]","[3, 253]","[3, 181]","[1, 16]","[1, 199]","[4, 144]","[4, 237]","[2, 138]","[1, 27]","[2, 161]","[1, 113]",1.0,0.197
"[4, 226]","[3, 220]","[3, 199]","[2, 251]","[1, 71]","[4, 169]","[4, 33]","[2, 181]","[2, 237]","[2, 217]","[1, 178]",0.998,0.453
"[4, 213]","[3, 237]","[4, 18]","[1, 126]","[1, 164]","[4, 27]","[4, 145]","[1, 95]","[2, 24]","[1, 55]","[0, 20]",0.956,0.04
"[4, 174]","[3, 33]","[4, 152]","[1, 22]","[1, 153]","[4, 34]","[3, 194]","[1, 194]","[1, 158]","[2, 90]","[0, 164]",0.999,0.328
"[4, 162]","[2, 224]","[4, 119]","[2, 159]","[2, 35]","[4, 61]","[3, 170]","[1, 63]","[1, 210]","[1, 81]","[0, 59]",0.97,0.064
"[4, 208]","[2, 105]","[4, 165]","[2, 222]","[2, 138]","[4, 13]","[3, 47]","[2, 213]","[1, 154]","[1, 200]","[1, 56]",0.964,0.17
"[4, 248]","[1, 134]","[4, 47]","[1, 226]","[1, 167]","[4, 236]","[3, 234]","[2, 186]","[1, 147]","[2, 160]","[1, 200]",0.999,0.465
"[4, 111]","[3, 184]","[3, 245]","[1, 240]","[2, 215]","[4, 78]","[4, 94]","[1, 221]","[2, 138]","[2, 173]","[0, 126]",0.999,0.42
"[4, 199]","[3, 13]","[4, 171]","[2, 207]","[2, 123]","[4, 32]","[3, 201]","[2, 178]","[1, 115]","[2, 10]","[1, 133]",0.982,0.052
"[4, 125]","[4, 44]","[3, 142]","[2, 227]","[2, 161]","[4, 167]","[4, 172]","[2, 111]","[2, 41]","[1, 94]","[0, 115]",0.551,0.157
"[4, 68]","[1, 37]","[3, 34]","[1, 145]","[2, 136]","[4, 53]","[4, 114]","[1, 33]","[2, 242]","[2, 50]","[0, 106]",3.557,0.248
"[4, 105]","[3, 187]","[4, 140]","[2, 211]","[1, 238]","[4, 200]","[4, 237]","[1, 58]","[1, 139]","[1, 163]","[1, 92]",0.998,0.504
"[4, 122]","[3, 130]","[4, 168]","[2, 94]","[2, 167]","[4, 249]","[3, 126]","[2, 108]","[2, 162]","[1, 202]","[0, 233]",0.976,0.596
"[4, 169]","[2, 243]","[3, 137]","[1, 38]","[2, 196]","[4, 57]","[4, 196]","[2, 53]","[2, 81]","[1, 129]","[1, 66]",0.997,0.338
"[4, 56]","[1, 43]","[4, 193]","[1, 68]","[1, 176]","[4, 196]","[3, 103]","[2, 158]","[2, 20]","[1, 72]","[1, 70]",0.974,0.048
"[4, 231]","[3, 120]","[4, 162]","[2, 108]","[1, 234]","[4, 165]","[4, 139]","[2, 160]","[2, 62]","[1, 248]","[0, 99]",0.999,0.551
"[4, 72]","[4, 245]","[4, 176]","[1, 62]","[1, 77]","[4, 250]","[3, 15]","[2, 190]","[1, 215]","[2, 212]","[1, 227]",0.757,0.718
"[4, 95]","[4, 115]","[3, 129]","[1, 185]","[1, 151]","[4, 152]","[3, 180]","[1, 34]","[1, 159]","[1, 34]","[0, 94]",1.0,0.03
"[4, 20]","[3, 230]","[3, 190]","[1, 207]","[2, 130]","[4, 75]","[4, 130]","[2, 158]","[1, 76]","[1, 232]","[1, 73]",1.0,0.144
"[4, 161]","[1, 50]","[3, 207]","[1, 173]","[2, 145]","[4, 168]","[4, 53]","[2, 174]","[2, 102]","[1, 211]","[0, 10]",0.772,0.225
"[4, 189]","[1, 170]","[4, 60]","[1, 146]","[1, 222]","[4, 252]","[3, 73]","[2, 197]","[2, 177]","[1, 125]","[0, 22]",0.913,0.06
"[4, 203]","[3, 241]","[3, 54]","[2, 143]","[1, 189]","[4, 71]","[3, 30]","[1, 90]","[2, 15]","[1, 230]","[1, 69]",0.984,0.079
"[4, 162]","[2, 46]","[3, 16]","[1, 154]","[1, 57]","[4, 72]","[4, 125]","[2, 237]","[1, 118]","[1, 134]","[1, 78]",0.998,0.102
"[4, 206]","[3, 78]","[4, 85]","[1, 205]","[2, 30]","[4, 231]","[3, 126]","[2, 231]","[1, 181]","[2, 246]","[0, 121]",0.999,0.501
"[4, 52]","[2, 83]","[3, 66]","[2, 124]","[1, 110]","[4, 69]","[4, 85]","[2, 64]","[1, 56]","[1, 213]","[0, 152]",0.752,0.127
"[4, 167]","[3, 36]","[3, 35]","[1, 222]","[2, 195]","[4, 111]","[4, 167]","[2, 101]","[2, 141]","[2, 81]","[0, 70]",0.998,0.327
"[4, 155]","[1, 198]","[3, 136]","[1, 88]","[2, 179]","[4, 250]","[3, 145]","[2, 221]","[1, 231]","[1, 179]","[0, 109]",0.797,0.13
"[4, 156]","[3, 33]","[3, 93]","[1, 76]","[2, 170]","[4, 201]","[3, 39]","[1, 216]","[2, 13]","[1, 95]","[1, 215]",0.994,0.036
"[4, 203]","[2, 78]","[4, 205]","[2, 13]","[1, 48]","[4, 105]","[4, 135]","[2, 117]","[1, 45]","[1, 239]","[1, 68]",1.0,0.504
"[4, 179]","[4, 193]","[3, 205]","[1, 124]","[2, 125]","[4, 170]","[4, 134]","[1, 82]","[1, 233]","[2, 122]","[0, 133]",0.998,0.45
"[4, 59]","[4, 247]","[4, 170]","[1, 169]","[1, 70]","[4, 179]","[3, 17]","[1, 209]","[1, 91]","[2, 123]","[0, 67]",0.841,0.595
"[4, 73]","[1, 14]","[4, 160]","[1, 53]","[2, 210]","[4, 198]","[4, 125]","[1, 190]","[1, 98]","[2, 225]","[1, 195]",0.999,
"[4, 64]","[1, 96]","[4, 170]","[1, 184]","[1, 59]","[4, 155]","[3, 203]","[2, 241]","[2, 59]","[2, 225]","[1, 154]",0.999,0.405
"[4, 22]","[3, 68]","[4, 217]","[2, 234]","[2, 25]","[4, 72]","[4, 69]","[1, 127]","[1, 90]","[2, 246]","[0, 99]",0.999,
"[4, 235]","[4, 96]","[3, 15]","[1, 92]","[1, 90]","[4, 66]","[3, 148]","[1, 208]","[1, 138]","[1, 54]","[1, 163]",1.0,0.03
"[4, 44]","[2, 91]","[3, 170]","[1, 191]","[2, 111]","[4, 68]","[3, 18]","[2, 150]","[2, 23]","[1, 188]","[1, 192]",0.938,0.13
"[4, 164]","[3, 141]","[3, 53]","[1, 215]","[1, 124]","[4, 200]","[3, 19]","[2, 77]","[2, 248]","[2, 102]","[0, 87]",0.866,0.146
"[4, 242]","[2, 14]","[3, 139]","[1, 154]","[2, 85]","[4, 219]","[4, 194]","[2, 164]","[1, 44]","[2, 25]","[1, 129]",0.998,0.433
"[4, 42]","[1, 100]","[4, 17]","[2, 14]","[2, 249]","[4, 111]","[4, 175]","[2, 186]","[1, 49]","[1, 245]","[1, 123]",0.998,0.221
"[4, 206]","[4, 29]","[3, 230]","[1, 126]","[1, 163]","[4, 46]","[4, 220]","[2, 87]","[1, 94]","[1, 173]","[1, 88]",0.998,0.476
"[4, 55]","[2, 42]","[3, 189]","[1, 73]","[2, 43]","[4, 94]","[4, 126]","[2, 155]","[1, 90]","[2, 132]","[1, 211]",0.999,0.026
"[4, 20]","[4, 198]","[3, 59]","[2, 23]","[1, 225]","[4, 59]","[4, 174]","[1, 158]","[1, 249]","[2, 53]","[1, 181]",0.974,0.121
"[4, 244]","[4, 187]","[4, 55]","[1, 10]","[1, 138]","[4, 36]","[4, 183]","[1, 33]","[2, 104]","[2, 159]","[1, 174]",1.0,
"[4, 31]","[3, 202]","[4, 74]","[1, 125]","[1, 147]","[4, 34]","[4, 82]","[2, 74]","[2, 81]","[1, 40]","[0, 137]",0.95,0.046
