PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,error,cv_PC,cv_PV,syn_PC,syn_PV
"[3, 147]","[2, 93]","[4, 212]","[4, 11]","[2, 146]","[2, 172]","[1, 13]","[0, 169]","[1, 105]","[4, 91]","[0, 74]",0.2705,1.52,0.62,0.08,0.1
"[3, 198]","[2, 143]","[4, 206]","[4, 14]","[2, 47]","[2, 168]","[1, 40]","[0, 237]","[1, 190]","[4, 51]","[0, 222]",0.5475,0.16,0.02,0.22,0.16
"[3, 191]","[2, 125]","[4, 187]","[4, 13]","[2, 41]","[2, 146]","[1, 212]","[0, 154]","[1, 230]","[4, 98]","[0, 133]",0.5595,0.17,0.02,0.23,0.2
"[3, 235]","[2, 154]","[4, 165]","[4, 158]","[2, 98]","[2, 152]","[1, 179]","[0, 167]","[1, 150]","[4, 219]","[0, 34]",0.555,0,0.01,0.02,0.21
"[3, 88]","[2, 105]","[4, 221]","[4, 111]","[2, 38]","[2, 194]","[1, 63]","[0, 18]","[1, 17]","[4, 218]","[0, 217]",0.514,0.21,0.08,0.12,0.22
"[3, 197]","[2, 75]","[4, 136]","[4, 12]","[2, 176]","[2, 208]","[1, 204]","[0, 159]","[1, 150]","[4, 76]","[0, 151]",0.517,0.13,0.33,0.3,0.22
"[3, 247]","[2, 227]","[4, 144]","[4, 11]","[2, 227]","[2, 231]","[1, 140]","[0, 110]","[1, 153]","[4, 77]","[0, 226]",0.554,0.18,0.08,0.26,0.22
"[3, 65]","[2, 38]","[4, 210]","[4, 61]","[2, 224]","[2, 230]","[1, 24]","[0, 152]","[1, 132]","[4, 158]","[0, 56]",0.382,0.49,0.36,0.12,0.27
"[3, 55]","[2, 13]","[4, 198]","[4, 32]","[2, 178]","[2, 252]","[1, 96]","[0, 78]","[1, 181]","[4, 118]","[0, 52]",0.2925,1.31,1.51,0.07,0.28
"[3, 221]","[2, 51]","[4, 118]","[4, 86]","[2, 62]","[2, 120]","[1, 63]","[0, 246]","[1, 40]","[4, 11]","[0, 212]",0.582,0.01,0,0.03,0.3
"[3, 211]","[2, 116]","[4, 115]","[4, 68]","[2, 247]","[2, 192]","[1, 237]","[0, 50]","[1, 46]","[4, 11]","[0, 241]",0.5895,0,0,0.06,0.3
"[3, 108]","[2, 187]","[4, 220]","[4, 40]","[2, 165]","[2, 192]","[1, 31]","[0, 72]","[1, 86]","[4, 40]","[0, 104]",0.5835,0.15,0.02,0.19,0.31
"[3, 47]","[2, 96]","[4, 220]","[4, 136]","[2, 202]","[2, 224]","[1, 15]","[0, 151]","[1, 48]","[4, 68]","[0, 123]",0.534,1.67,1.99,0.16,0.32
"[3, 239]","[2, 13]","[4, 130]","[4, 80]","[2, 10]","[2, 144]","[1, 82]","[0, 177]","[1, 216]","[4, 49]","[0, 128]",0.5845,0,0,0.02,0.32
"[3, 48]","[2, 34]","[4, 161]","[4, 115]","[2, 150]","[2, 175]","[1, 175]","[0, 126]","[1, 108]","[4, 11]","[0, 38]",0.366,0.5,0.55,0.19,0.33
