PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,cv_error,synchrony_error
"[3, 217]","[2, 203]","[4, 94]","[4, 173]","[2, 207]","[2, 150]","[1, 214]","[1, 185]","[2, 18]","[4, 203]","[1, 224]",0,1
"[3, 67]","[2, 119]","[4, 224]","[3, 77]","[2, 79]","[2, 59]","[2, 87]","[0, 45]","[0, 230]","[3, 239]","[1, 152]",0.276,0.145
"[3, 92]","[2, 48]","[3, 193]","[4, 117]","[1, 182]","[2, 223]","[1, 72]","[1, 31]","[2, 112]","[4, 171]","[0, 248]",0.582,0.333
"[3, 94]","[1, 124]","[4, 219]","[4, 16]","[1, 186]","[2, 154]","[2, 205]","[1, 68]","[1, 37]","[3, 250]","[1, 26]",0.747,0.163
"[3, 79]","[1, 216]","[3, 140]","[4, 136]","[1, 45]","[2, 133]","[1, 242]","[1, 95]","[0, 157]","[3, 159]","[1, 69]",0.752,0.307
"[3, 76]","[2, 160]","[3, 89]","[4, 209]","[1, 25]","[2, 169]","[1, 199]","[1, 10]","[0, 236]","[4, 247]","[0, 45]",0.772,0.359
"[3, 59]","[2, 224]","[3, 34]","[3, 81]","[1, 126]","[1, 172]","[2, 147]","[1, 38]","[2, 165]","[4, 22]","[0, 250]",0.784,0.597
"[2, 162]","[1, 202]","[3, 109]","[4, 48]","[1, 45]","[2, 199]","[1, 24]","[1, 108]","[1, 196]","[4, 60]","[0, 45]",0.798,0.632
"[3, 56]","[1, 112]","[3, 63]","[4, 20]","[1, 148]","[2, 114]","[1, 47]","[0, 58]","[0, 184]","[4, 143]","[0, 204]",0.804,0.387
"[3, 85]","[2, 21]","[3, 227]","[4, 23]","[2, 53]","[2, 201]","[1, 67]","[1, 88]","[1, 157]","[3, 50]","[0, 147]",0.853,0.286
"[3, 119]","[1, 192]","[4, 224]","[3, 243]","[1, 10]","[2, 208]","[1, 22]","[0, 195]","[1, 216]","[4, 252]","[0, 119]",0.868,0.12
"[3, 89]","[1, 237]","[3, 186]","[3, 125]","[1, 92]","[2, 31]","[1, 104]","[1, 193]","[0, 199]","[3, 176]","[0, 46]",0.878,0.319
"[3, 97]","[1, 27]","[4, 236]","[4, 56]","[1, 154]","[2, 101]","[1, 96]","[0, 69]","[2, 96]","[3, 156]","[0, 167]",0.89,0.229
"[3, 250]","[2, 115]","[4, 212]","[4, 26]","[1, 133]","[2, 153]","[1, 170]","[0, 190]","[2, 10]","[4, 117]","[0, 82]",0.895,0.211
