PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,error,cv_PC,cv_PV,syn_PC,syn_PV
"[4, 55]","[4, 252]","[4, 139]","[3, 107]","[3, 49]","[4, 214]","[3, 84]","[4, 173]","[4, 39]","[4, 105]","[3, 165]",,0.0,0.0,,
"[4, 235]","[3, 16]","[3, 139]","[4, 243]","[4, 74]","[4, 123]","[3, 54]","[3, 103]","[4, 160]","[4, 205]","[3, 19]",0.9670000000000001,0.0,0.0,0.87,1.0
"[3, 39]","[3, 92]","[3, 69]","[3, 41]","[3, 33]","[4, 101]","[4, 139]","[3, 46]","[3, 57]","[3, 35]","[3, 148]",,0.0,0.0,,
"[4, 201]","[3, 47]","[4, 33]","[4, 145]","[4, 242]","[3, 92]","[4, 136]","[3, 102]","[3, 188]","[3, 113]","[4, 191]",,0.0,0.0,1.0,
"[3, 183]","[3, 189]","[4, 163]","[3, 183]","[3, 152]","[3, 18]","[3, 106]","[4, 15]","[4, 28]","[4, 94]","[3, 124]",,0.0,0.0,,
"[4, 245]","[4, 235]","[4, 199]","[4, 156]","[3, 142]","[3, 146]","[4, 224]","[3, 58]","[4, 211]","[3, 28]","[4, 251]",0.572,0.0,0.04,0.05,0.28
"[3, 235]","[3, 38]","[3, 235]","[4, 116]","[4, 16]","[3, 79]","[3, 101]","[4, 60]","[3, 221]","[4, 226]","[3, 126]",,0.0,0.0,,
"[4, 180]","[3, 56]","[4, 210]","[3, 81]","[3, 16]","[4, 161]","[4, 212]","[4, 150]","[4, 204]","[3, 91]","[4, 181]",,0.0,0.0,,
"[4, 80]","[3, 101]","[3, 137]","[3, 59]","[4, 100]","[3, 116]","[3, 251]","[3, 223]","[3, 71]","[4, 201]","[4, 186]",,0.0,0.0,,
"[4, 46]","[3, 76]","[4, 59]","[4, 121]","[4, 171]","[4, 31]","[3, 108]","[4, 130]","[3, 118]","[3, 203]","[3, 218]",,0.0,0.0,,
"[3, 41]","[3, 208]","[4, 248]","[4, 25]","[4, 147]","[3, 171]","[3, 230]","[4, 132]","[3, 142]","[4, 254]","[3, 224]",,0.0,0.0,,
"[3, 240]","[4, 226]","[3, 35]","[3, 92]","[3, 137]","[4, 99]","[3, 98]","[4, 215]","[4, 93]","[3, 180]","[3, 165]",,0.0,0.0,,
"[4, 94]","[3, 193]","[3, 126]","[4, 126]","[3, 139]","[4, 181]","[3, 192]","[3, 195]","[3, 142]","[3, 92]","[3, 136]",,0.0,0.0,,
"[3, 73]","[4, 147]","[3, 66]","[3, 188]","[3, 191]","[4, 166]","[3, 15]","[3, 117]","[4, 186]","[4, 51]","[3, 112]",,0.0,0.0,,
"[4, 27]","[3, 60]","[4, 101]","[4, 129]","[4, 18]","[4, 148]","[4, 197]","[3, 214]","[4, 164]","[3, 37]","[4, 98]",,0.0,0.0,,
"[3, 217]","[4, 132]","[3, 248]","[3, 40]","[3, 202]","[3, 78]","[4, 123]","[3, 121]","[3, 173]","[3, 143]","[3, 32]",,0.0,0.0,,
"[3, 197]","[4, 245]","[3, 30]","[4, 186]","[3, 205]","[3, 251]","[4, 172]","[4, 179]","[3, 238]","[3, 92]","[3, 17]",,0.0,0.0,,
"[3, 121]","[4, 114]","[3, 15]","[4, 193]","[4, 210]","[3, 240]","[4, 214]","[4, 195]","[4, 200]","[3, 208]","[3, 113]",,0.0,0.0,,
"[4, 173]","[4, 252]","[3, 220]","[3, 160]","[3, 105]","[3, 194]","[4, 151]","[4, 78]","[3, 62]","[4, 153]","[3, 78]",,0.0,0.0,,
"[3, 171]","[4, 48]","[3, 251]","[3, 71]","[4, 102]","[3, 237]","[3, 98]","[4, 191]","[3, 242]","[3, 201]","[4, 104]",,0.0,0.0,,
