"PC_w0","PC_w1","PC_w2","PC_AG","PC_NG","PC_SG","PV_w0","PV_w1","PV_w2","PV_AG","PV_GG","error","cv_PC","cv_PV","syn_PC","syn_PV"
"[3, 77]","[3, 47]","[3, 214]","[3, 129]","[3, 25]","[3, 222]","[3, 115]","[3, 177]","[3, 233]","[3, 223]","[3, 29]",0.135,1.04,1.2,0.05,0.25
"[3, 211]","[3, 120]","[3, 238]","[3, 66]","[3, 15]","[3, 248]","[3, 116]","[3, 106]","[3, 108]","[3, 140]","[3, 52]",0.1845,1.04,1.27,0.14,0.29
"[3, 212]","[3, 64]","[3, 228]","[3, 106]","[3, 30]","[3, 217]","[3, 127]","[3, 214]","[3, 26]","[3, 151]","[3, 163]",0.2435,0.83,0.9,0.3,0.41
"[3, 169]","[3, 52]","[3, 242]","[3, 230]","[3, 21]","[3, 215]","[3, 152]","[3, 251]","[3, 140]","[3, 220]","[3, 78]",0.26,1.36,1.12,0.22,0.34
"[3, 245]","[3, 232]","[3, 85]","[3, 179]","[3, 164]","[3, 58]","[3, 137]","[3, 112]","[3, 235]","[3, 40]","[3, 192]",0.293,0.01,0.99,0.06,0.11
"[3, 244]","[3, 237]","[3, 43]","[3, 85]","[3, 227]","[3, 65]","[3, 185]","[3, 191]","[3, 242]","[3, 42]","[3, 174]",0.2955,0.07,1.02,0.09,0.15
"[3, 210]","[3, 230]","[3, 99]","[3, 72]","[3, 125]","[3, 147]","[3, 105]","[3, 47]","[3, 195]","[3, 63]","[3, 241]",0.296,0,0.94,0.05,0.08
"[3, 75]","[3, 86]","[3, 242]","[3, 82]","[3, 25]","[3, 172]","[3, 173]","[3, 111]","[3, 32]","[3, 251]","[3, 128]",0.2975,1.18,1.39,0.25,0.37
"[3, 251]","[3, 25]","[3, 53]","[3, 57]","[3, 78]","[3, 120]","[3, 41]","[3, 235]","[3, 225]","[3, 162]","[3, 250]",0.3105,0.09,0.99,0.12,0.21
"[3, 226]","[3, 177]","[3, 153]","[3, 26]","[3, 157]","[3, 78]","[3, 44]","[3, 20]","[3, 198]","[3, 82]","[3, 183]",0.3105,0,1.05,0.06,0.14
"[3, 251]","[3, 99]","[3, 50]","[3, 136]","[3, 244]","[3, 236]","[3, 79]","[3, 129]","[3, 108]","[3, 55]","[3, 174]",0.313,0.04,1.02,0.08,0.19
"[3, 205]","[3, 180]","[3, 209]","[3, 127]","[3, 79]","[3, 65]","[3, 99]","[3, 218]","[3, 120]","[3, 74]","[3, 239]",0.3195,0,1.09,0.05,0.14
"[3, 242]","[3, 113]","[3, 133]","[3, 37]","[3, 140]","[3, 97]","[3, 229]","[3, 121]","[3, 219]","[3, 37]","[3, 70]",0.32,0,0.87,0.06,0.09
