x-axis,1,2,3
second,Volt,Volt,Volt
-1.1460000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.1455000E+00,+3.1250E-03,+53.7500E-03,+53.1250E-03
-1.1450000E+00,+18.7500E-03,+47.5000E-03,+53.1250E-03
-1.1445000E+00,+34.3750E-03,+47.5000E-03,+53.1250E-03
-1.1440000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.1435000E+00,+3.1250E-03,+41.2500E-03,+53.1250E-03
-1.1430000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.1425000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.1420000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.1415000E+00,+3.1250E-03,+41.2500E-03,+53.1250E-03
-1.1410000E+00,+18.7500E-03,+47.5000E-03,+53.1250E-03
-1.1405000E+00,+18.7500E-03,+35.0000E-03,+84.3750E-03
-1.1400000E+00,+3.1250E-03,+47.5000E-03,+68.7500E-03
-1.1395000E+00,+3.1250E-03,+47.5000E-03,+37.5000E-03
-1.1390000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.1385000E+00,+3.1250E-03,+47.5000E-03,+68.7500E-03
-1.1380000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.1375000E+00,+18.7500E-03,+47.5000E-03,+37.5000E-03
-1.1370000E+00,+3.1250E-03,+47.5000E-03,+37.5000E-03
-1.1365000E+00,+3.1250E-03,+47.5000E-03,+53.1250E-03
-1.1360000E+00,+18.7500E-03,+41.2500E-03,+37.5000E-03
-1.1355000E+00,+18.7500E-03,+47.5000E-03,+53.1250E-03
-1.1350000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.1345000E+00,+18.7500E-03,+47.5000E-03,+53.1250E-03
-1.1340000E+00,-12.5000E-03,+41.2500E-03,+53.1250E-03
-1.1335000E+00,+34.3750E-03,+47.5000E-03,+37.5000E-03
-1.1330000E+00,+50.0000E-03,+41.2500E-03,+53.1250E-03
-1.1325000E+00,+18.7500E-03,+47.5000E-03,+84.3750E-03
-1.1320000E+00,+3.1250E-03,+35.0000E-03,+21.8750E-03
-1.1315000E+00,+18.7500E-03,+41.2500E-03,+37.5000E-03
-1.1310000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.1305000E+00,+34.3750E-03,+41.2500E-03,+37.5000E-03
-1.1300000E+00,+3.1250E-03,+41.2500E-03,+68.7500E-03
